x value,timestamp,topic,value
-0.10271788388490677,1778965700.194102352,/fmu/out/vehicle_local_position.x,-0.10501442849636078
-0.102570541203022,1778965700.209937195,/fmu/out/vehicle_local_position.x,-0.10561301559209824
-0.10242815315723419,1778965700.228108410,/fmu/out/vehicle_local_position.x,-0.1061989814043045
-0.10258178412914276,1778965700.243726669,/fmu/out/vehicle_local_position.x,-0.10639522969722748
-0.10273334383964539,1778965700.250422163,/fmu/out/vehicle_local_position.x,-0.10658762603998184
-0.10288288444280624,1778965700.265043978,/fmu/out/vehicle_local_position.x,-0.10677622258663177
-0.10303046554327011,1778965700.285904262,/fmu/out/vehicle_local_position.x,-0.10696106404066086
-0.10317616164684296,1778965700.292829435,/fmu/out/vehicle_local_position.x,-0.10714220255613327
-0.10332003980875015,1778965700.312969024,/fmu/out/vehicle_local_position.x,-0.10731968283653259
-0.10346215218305588,1778965700.325952643,/fmu/out/vehicle_local_position.x,-0.1074935644865036
-0.10360255837440491,1778965700.339155835,/fmu/out/vehicle_local_position.x,-0.10766389966011047
-0.10374131053686142,1778965700.355472977,/fmu/out/vehicle_local_position.x,-0.1078307181596756
-0.10387846827507019,1778965700.377577685,/fmu/out/vehicle_local_position.x,-0.10799407958984375
-0.1040140837430954,1778965700.383381471,/fmu/out/vehicle_local_position.x,-0.10815403610467911
-0.10414819419384003,1778965700.396008373,/fmu/out/vehicle_local_position.x,-0.10831066966056824
-0.10428079962730408,1778965700.412388487,/fmu/out/vehicle_local_position.x,-0.1084640696644783
-0.10441194474697113,1778965700.425500790,/fmu/out/vehicle_local_position.x,-0.10861432552337646
-0.10454164445400238,1778965700.440084507,/fmu/out/vehicle_local_position.x,-0.10876152664422989
-0.10466992110013962,1778965700.454038840,/fmu/out/vehicle_local_position.x,-0.10890575498342514
-0.1044694185256958,1778965700.469945160,/fmu/out/vehicle_local_position.x,-0.1088235080242157
-0.10427524149417877,1778965700.484988703,/fmu/out/vehicle_local_position.x,-0.10874365270137787
-0.10408718883991241,1778965700.497662052,/fmu/out/vehicle_local_position.x,-0.10866611450910568
-0.10390505939722061,1778965700.517110024,/fmu/out/vehicle_local_position.x,-0.10859081149101257
-0.10372867435216904,1778965700.524615179,/fmu/out/vehicle_local_position.x,-0.10851767659187317
-0.10355783998966217,1778965700.543838725,/fmu/out/vehicle_local_position.x,-0.1084466427564621
-0.10339238494634628,1778965700.556018096,/fmu/out/vehicle_local_position.x,-0.10837763547897339
-0.10323213785886765,1778965700.578917036,/fmu/out/vehicle_local_position.x,-0.10831060260534286
-0.10307691991329193,1778965700.594454671,/fmu/out/vehicle_local_position.x,-0.10824546962976456
-0.1029265820980072,1778965700.602158410,/fmu/out/vehicle_local_position.x,-0.10818218439817429
-0.10278095304965973,1778965700.619638632,/fmu/out/vehicle_local_position.x,-0.10812067985534668
-0.10263992100954056,1778965700.631417331,/fmu/out/vehicle_local_position.x,-0.10806093364953995
-0.10250335186719894,1778965700.654091895,/fmu/out/vehicle_local_position.x,-0.10800290107727051
-0.10237113386392593,1778965700.661905021,/fmu/out/vehicle_local_position.x,-0.10794655233621597
-0.10224314779043198,1778965700.675643539,/fmu/out/vehicle_local_position.x,-0.10789184272289276
-0.10255269706249237,1778965700.688770205,/fmu/out/vehicle_local_position.x,-0.10763765871524811
-0.10285685211420059,1778965700.704980941,/fmu/out/vehicle_local_position.x,-0.10738978534936905
-0.10315578430891037,1778965700.719834556,/fmu/out/vehicle_local_position.x,-0.10714805126190186
-0.10344965010881424,1778965700.736662822,/fmu/out/vehicle_local_position.x,-0.10691229999065399
-0.10373861342668533,1778965700.756817262,/fmu/out/vehicle_local_position.x,-0.10668236762285233
-0.10402283072471619,1778965700.778843503,/fmu/out/vehicle_local_position.x,-0.10645809769630432
-0.10430245101451874,1778965700.801926195,/fmu/out/vehicle_local_position.x,-0.10623934864997864
-0.10457763075828552,1778965700.809900804,/fmu/out/vehicle_local_position.x,-0.10602597147226334
-0.10484851151704788,1778965700.840637100,/fmu/out/vehicle_local_position.x,-0.10581781715154648
-0.10511523485183716,1778965700.863358108,/fmu/out/vehicle_local_position.x,-0.10561475902795792
-0.1053779348731041,1778965700.870278931,/fmu/out/vehicle_local_position.x,-0.10541665554046631
-0.10563668608665466,1778965700.885398164,/fmu/out/vehicle_local_position.x,-0.1052233874797821
-0.10589157789945602,1778965700.901016882,/fmu/out/vehicle_local_position.x,-0.10503484308719635
-0.10614268481731415,1778965700.915138131,/fmu/out/vehicle_local_position.x,-0.10485093295574188
-0.1063900887966156,1778965700.932660421,/fmu/out/vehicle_local_position.x,-0.10467153787612915
-0.10663387179374695,1778965700.957201776,/fmu/out/vehicle_local_position.x,-0.1044965609908104
-0.10664945095777512,1778965700.963455770,/fmu/out/vehicle_local_position.x,-0.10410769283771515
-0.10666622221469879,1778965700.976956447,/fmu/out/vehicle_local_position.x,-0.1037280261516571
-0.1066841334104538,1778965701.002538377,/fmu/out/vehicle_local_position.x,-0.10335731506347656
-0.10670310258865356,1778965701.016659932,/fmu/out/vehicle_local_position.x,-0.10299532860517502
-0.10672308504581451,1778965701.023610286,/fmu/out/vehicle_local_position.x,-0.10264183580875397
-0.10674400627613068,1778965701.047510267,/fmu/out/vehicle_local_position.x,-0.1022966131567955
-0.10676581412553787,1778965701.057662352,/fmu/out/vehicle_local_position.x,-0.10195944458246231
-0.10678845643997192,1778965701.073524832,/fmu/out/vehicle_local_position.x,-0.10163011401891708
-0.10681188106536865,1778965701.097458219,/fmu/out/vehicle_local_position.x,-0.1013084203004837
-0.10683604329824448,1778965701.104893807,/fmu/out/vehicle_local_position.x,-0.10099416226148605
-0.10686088353395462,1778965701.131721388,/fmu/out/vehicle_local_position.x,-0.10068713873624802
-0.1068863794207573,1778965701.144359614,/fmu/out/vehicle_local_position.x,-0.10038719326257706
-0.1069125235080719,1778965701.177280847,/fmu/out/vehicle_local_position.x,-0.10009414702653885
-0.10693930089473724,1778965701.199251727,/fmu/out/vehicle_local_position.x,-0.09980784356594086
-0.10696667432785034,1778965701.210250650,/fmu/out/vehicle_local_position.x,-0.09952811896800995
-0.10676979273557663,1778965701.242349857,/fmu/out/vehicle_local_position.x,-0.09829623252153397
-0.1065792590379715,1778965701.252888136,/fmu/out/vehicle_local_position.x,-0.09709270298480988
-0.10639488697052002,1778965701.270865195,/fmu/out/vehicle_local_position.x,-0.0959167331457138
-0.10621650516986847,1778965701.286538702,/fmu/out/vehicle_local_position.x,-0.09476754814386368
-0.10604394972324371,1778965701.304688336,/fmu/out/vehicle_local_position.x,-0.0936444103717804
-0.10587705671787262,1778965701.328900393,/fmu/out/vehicle_local_position.x,-0.09254658967256546
-0.10571565479040146,1778965701.335782260,/fmu/out/vehicle_local_position.x,-0.09147337079048157
-0.10555959492921829,1778965701.347532557,/fmu/out/vehicle_local_position.x,-0.0904240682721138
-0.10540872812271118,1778965701.363929594,/fmu/out/vehicle_local_position.x,-0.08939801901578903
-0.10526289790868759,1778965701.384772369,/fmu/out/vehicle_local_position.x,-0.08839456737041473
-0.10512196272611618,1778965701.402628326,/fmu/out/vehicle_local_position.x,-0.08741307258605957
-0.1049857959151268,1778965701.415113721,/fmu/out/vehicle_local_position.x,-0.08645301312208176
-0.1048542782664299,1778965701.431229068,/fmu/out/vehicle_local_position.x,-0.0855138748884201
-0.10472729057073593,1778965701.447429888,/fmu/out/vehicle_local_position.x,-0.08459515124559402
-0.10460471361875534,1778965701.468414812,/fmu/out/vehicle_local_position.x,-0.08369635790586472
-0.10448642820119858,1778965701.477465002,/fmu/out/vehicle_local_position.x,-0.08281701058149338
-0.10464420169591904,1778965701.496111746,/fmu/out/vehicle_local_position.x,-0.08173481374979019
-0.10480022430419922,1778965701.511639951,/fmu/out/vehicle_local_position.x,-0.08067582547664642
-0.10495457053184509,1778965701.538134896,/fmu/out/vehicle_local_position.x,-0.07963946461677551
-0.10510730743408203,1778965701.542766307,/fmu/out/vehicle_local_position.x,-0.0786251574754715
-0.10525849461555481,1778965701.559152265,/fmu/out/vehicle_local_position.x,-0.0776323452591896
-0.1054081916809082,1778965701.574574472,/fmu/out/vehicle_local_position.x,-0.07666049897670746
-0.10555645823478699,1778965701.591833720,/fmu/out/vehicle_local_position.x,-0.07570907473564148
-0.10570336133241653,1778965701.612474173,/fmu/out/vehicle_local_position.x,-0.07477757334709167
-0.10584894567728043,1778965701.624712845,/fmu/out/vehicle_local_position.x,-0.07386548817157745
-0.10599327832460403,1778965701.645588452,/fmu/out/vehicle_local_position.x,-0.07297232747077942
-0.10613639652729034,1778965701.670156892,/fmu/out/vehicle_local_position.x,-0.07209761440753937
-0.10627833008766174,1778965701.677489475,/fmu/out/vehicle_local_position.x,-0.07124091684818268
-0.10641908645629883,1778965701.698502702,/fmu/out/vehicle_local_position.x,-0.07040180265903473
-0.10655868798494339,1778965701.711742232,/fmu/out/vehicle_local_position.x,-0.06957986205816269
-0.10669715702533722,1778965701.732457106,/fmu/out/vehicle_local_position.x,-0.06877467781305313
-0.1068345159292221,1778965701.738808394,/fmu/out/vehicle_local_position.x,-0.06798585504293442
-0.10707782953977585,1778965701.758009610,/fmu/out/vehicle_local_position.x,-0.06736601889133453
-0.10731738805770874,1778965701.778155834,/fmu/out/vehicle_local_position.x,-0.06675942242145538
-0.10755329579114914,1778965701.793856233,/fmu/out/vehicle_local_position.x,-0.06616576015949249
-0.10778563469648361,1778965701.807733861,/fmu/out/vehicle_local_position.x,-0.06558475643396378
-0.10801450163125992,1778965701.821418075,/fmu/out/vehicle_local_position.x,-0.06501610577106476
-0.10823998600244522,1778965701.846590760,/fmu/out/vehicle_local_position.x,-0.06445955485105515
